"SCEN_LABEL_H","SCEN_LABEL_L","IDYEARS","REGIONGROUP","LABEL_REGIONGROUP","DELTA_COST_HEALTHCARE_MUSD2017_PPP_MORB","DELTA_COST_HEALTHCARE_MUSD2017_PPP_MORT","DELTA_COST_PRODUCTIVITY_MUSD2017_PPP_MORB","DELTA_COST_PRODUCTIVITY_MUSD2017_PPP_MORT","DELTA_COST_DISUTILITY_MUSD2017_PPP_MORB","DELTA_COST_DISUTILITY_MUSD2017_PPP_MORT"
"Baseline","Integrated Action",2040,"SAS","South Asia",35338.6,0,69959.4,284012.4,138902.8,1291892.8
"Baseline","Integrated Action",2040,"SSA","Sub-Saharan Africa",2648.6,0,8895.8,126895.7,9805.1,286602.8
"Baseline","Integrated Action",2040,"WAS","Western Asia",7132.8,0,10801.2,2089.8,20448.6,71410.6
"Baseline","Integrated Action",2040,"WBK","West Balkan",1490.7,0,1139,345.8,2291.6,8481.7
"Baseline","Integrated Action",2040,NA,"Global",361358.8,0,441157,490426.8,838254.7,4477913.6
"Baseline","Integrated Action",2045,"CAS","Central Asia",837.3,0,1172.7,1399.4,2470.5,10781.7
"Baseline","Integrated Action",2045,"CHI","Centrally Planned Asia",163991.7,0,230240,604.9,436479,1670715.2
"Baseline","Integrated Action",2045,"EAS","South East Asia",27540.7,0,50292.5,20143.8,99759.1,464794.9
"Baseline","Integrated Action",2045,"EUR","EU, EFTA, UK",32203,0,23954.4,4601.4,43757.1,151788.2
"Baseline","Integrated Action",2045,"LAC","Latin America & Caribbean",32064.3,0,32500.7,12459,53011,219608.5
"Baseline","Integrated Action",2045,"MEA","Middle East",13004.2,0,16899.5,2732.9,39337.9,125494.3
"Baseline","Integrated Action",2045,"NAF","North Africa",9303.1,0,14144.6,5455.2,30266.3,117108.6
"Baseline","Integrated Action",2045,"NAM","North America",73416.5,0,40372.4,9242.7,62422.4,187288.4
"Baseline","Integrated Action",2045,"OCE","Oceania",35592.2,0,31132.2,3013.3,57964.8,202375.6
"Baseline","Integrated Action",2045,"RUS","Russian Federation",5513.5,0,5280.9,2794.4,12869.5,55641
"Baseline","Integrated Action",2045,"SAF","Southern Africa",5661.1,0,6347.5,19689.3,11386.2,126955.7
"Baseline","Integrated Action",2045,"SAS","South Asia",50492.5,0,98857.5,337733.3,195925.5,1680175.6
"Baseline","Integrated Action",2045,"SSA","Sub-Saharan Africa",3783.9,0,12110.6,142351.6,13869.9,340688.2
"Baseline","Integrated Action",2045,"WAS","Western Asia",8241.8,0,12982.7,1775.7,24471.9,79363.4
"Baseline","Integrated Action",2045,"WBK","West Balkan",1822,0,1416.8,332.7,2826.1,9632.9
"Baseline","Integrated Action",2045,NA,"Global",463467.8,0,577705,564329.6,1086817.2,5442412.2
"Baseline","Integrated Action",2050,"CAS","Central Asia",945.7,0,1296,1361,2712.5,11192.5
"Baseline","Integrated Action",2050,"CHI","Centrally Planned Asia",205247.5,0,290533,562.1,540106.6,1921982.9
"Baseline","Integrated Action",2050,"EAS","South East Asia",37262.9,0,67474.6,21693,132622.2,571150.5
"Baseline","Integrated Action",2050,"EUR","EU, EFTA, UK",35189.6,0,26006.3,3912.3,46829.9,149187.9
"Baseline","Integrated Action",2050,"LAC","Latin America & Caribbean",43786,0,43257.8,12051.3,70488.8,253747.8
"Baseline","Integrated Action",2050,"MEA","Middle East",17391,0,22798.6,3005.9,52081.4,163491.8
"Baseline","Integrated Action",2050,"NAF","North Africa",13118.3,0,19954.2,6551.2,42470.9,159997.8
"Baseline","Integrated Action",2050,"NAM","North America",85004.1,0,46641.8,9166.9,71826.5,202897.7
"Baseline","Integrated Action",2050,"OCE","Oceania",48723.7,0,42657.2,3226.5,78365.2,259750.4
"Baseline","Integrated Action",2050,"RUS","Russian Federation",5251.2,0,5055,2268.6,12232.4,49891.5
"Baseline","Integrated Action",2050,"SAF","Southern Africa",9199.8,0,9653.2,24253.2,18350.6,176299.1
"Baseline","Integrated Action",2050,"SAS","South Asia",69649.6,0,134856.3,380193.1,266041.7,2092902.1
"Baseline","Integrated Action",2050,"SSA","Sub-Saharan Africa",5207.7,0,15856.1,157118.2,18895.1,401151.1
"Baseline","Integrated Action",2050,"WAS","Western Asia",8938.7,0,14890.9,1268.4,27993.7,83851.4
"Baseline","Integrated Action",2050,"WBK","West Balkan",2031.4,0,1590,291.6,3152,10001.1
"Baseline","Integrated Action",2050,NA,"Global",586947.2,0,742521,626923.3,1384169.5,6507495.6
"Baseline","Integrated Action",2055,"CAS","Central Asia",1169.8,0,1576.3,1156.1,3297.7,12890.8
"Baseline","Integrated Action",2055,"CHI","Centrally Planned Asia",241405.7,0,342869.6,646,629570.2,2169295.8
"Baseline","Integrated Action",2055,"EAS","South East Asia",46469.7,0,83680.5,20517.7,162823.5,667314.5
"Baseline","Integrated Action",2055,"EUR","EU, EFTA, UK",41071.4,0,30072.8,2961.8,53552.5,160598.1
"Baseline","Integrated Action",2055,"LAC","Latin America & Caribbean",57027.2,0,55296.2,10309.6,89728.2,297026.2
"Baseline","Integrated Action",2055,"MEA","Middle East",22218,0,29372.5,2773.5,65676.6,208507.8
"Baseline","Integrated Action",2055,"NAF","North Africa",17707.2,0,26960.3,7145.8,57040.7,208632.4
"Baseline","Integrated Action",2055,"NAM","North America",91792.1,0,49961,6807.8,76899.8,206602.8
"Baseline","Integrated Action",2055,"OCE","Oceania",57757.8,0,50694,2831.4,92111.3,302687.3
"Baseline","Integrated Action",2055,"RUS","Russian Federation",6021.2,0,5806.7,1881.3,13947,53564.5
"Baseline","Integrated Action",2055,"SAF","Southern Africa",13919.2,0,14082.1,30234.1,27600,253513.3
"Baseline","Integrated Action",2055,"SAS","South Asia",95904.1,0,184713.4,403647,360777.6,2629983
"Baseline","Integrated Action",2055,"SSA","Sub-Saharan Africa",7054,0,20391.7,163199.5,25300.3,384540.2
"Baseline","Integrated Action",2055,"WAS","Western Asia",10701.1,0,17879.4,1063.4,33318.4,96087.4
"Baseline","Integrated Action",2055,"WBK","West Balkan",1513.4,0,1190.9,169,2348.8,6984.2
"Baseline","Integrated Action",2055,NA,"Global",711731.9,0,914547.4,655344,1693992.6,7658228.3
"Baseline","Integrated Action",2060,"CAS","Central Asia",1537.6,0,2050.9,1265.7,4290.4,16028.6
"Baseline","Integrated Action",2060,"CHI","Centrally Planned Asia",273453,0,388886.3,726.1,710989.2,2380312.1
"Baseline","Integrated Action",2060,"EAS","South East Asia",55010.4,0,98894.4,19947.9,190320.5,744231.5
"Baseline","Integrated Action",2060,"EUR","EU, EFTA, UK",46181.8,0,33823.9,2682.6,59936.9,171884
"Baseline","Integrated Action",2060,"LAC","Latin America & Caribbean",71310.2,0,68223.5,9460.6,109841.4,344759.3
"Baseline","Integrated Action",2060,"MEA","Middle East",28279.7,0,37680.3,2897.2,82529.8,263605.5
"Baseline","Integrated Action",2060,"NAF","North Africa",23786.9,0,36194.3,7976.4,76040.3,270596.9
"Baseline","Integrated Action",2060,"NAM","North America",95053.1,0,51531.9,5909.9,79329.2,201688.3
"Baseline","Integrated Action",2060,"OCE","Oceania",63323.5,0,55729.3,2354.9,100083.9,321079.2
"Baseline","Integrated Action",2060,"RUS","Russian Federation",7005.7,0,6752.2,1888.2,16100.7,58728
"Baseline","Integrated Action",2060,"SAF","Southern Africa",20214.6,0,20035.6,39267.6,39836,374031.2
"Baseline","Integrated Action",2060,"SAS","South Asia",128594.5,0,247476.8,437912.7,477765,3325974.5
"Baseline","Integrated Action",2060,"SSA","Sub-Saharan Africa",9402.1,0,25869.1,170405.8,33338.8,461720.6
"Baseline","Integrated Action",2060,"WAS","Western Asia",12977.7,0,21766.1,1022.4,40288,112767.3
"Baseline","Integrated Action",2060,"WBK","West Balkan",1444.4,0,1138,133.8,2241.3,6306.1
"Baseline","Integrated Action",2060,NA,"Global",837575.2,0,1096052.6,703851.8,2022931.4,9053713.1
"Baseline","Integrated Action",2070,"CAS","Central Asia",2609.4,0,3293.7,1519.3,6809.5,23306
"Baseline","Integrated Action",2070,"CHI","Centrally Planned Asia",348622.9,0,499108,784.9,899523.2,2753494.2
"Baseline","Integrated Action",2070,"EAS","South East Asia",70298.5,0,127756.6,17153.5,240802,857973.1
"Baseline","Integrated Action",2070,"EUR","EU, EFTA, UK",57312.7,0,41877.7,1998.8,73938.6,189946.4
"Baseline","Integrated Action",2070,"LAC","Latin America & Caribbean",98192.2,0,92318.1,7388.9,145818.8,428207.2
"Baseline","Integrated Action",2070,"MEA","Middle East",41183.5,0,55733,2795.7,118594.8,368464.2
"Baseline","Integrated Action",2070,"NAF","North Africa",40862.5,0,62296.4,9396.9,129049,436842.1
"Baseline","Integrated Action",2070,"NAM","North America",119696.9,0,64659.4,4792.7,98677.1,227995.6
"Baseline","Integrated Action",2070,"OCE","Oceania",65559.1,0,58141.6,1392.7,101484.8,290933.7
"Baseline","Integrated Action",2070,"RUS","Russian Federation",9137.2,0,8798.7,1794.9,20787.4,69248.6
"Baseline","Integrated Action",2070,"SAF","Southern Africa",3851.1,0,7776,68448.5,11032.1,796458.6
"Baseline","Integrated Action",2070,"SAS","South Asia",196643,0,380842.9,432601.7,713763.7,4567789.4
"Baseline","Integrated Action",2070,"SSA","Sub-Saharan Africa",14236.2,0,35794.3,203312.9,49309.2,703607.3
"Baseline","Integrated Action",2070,"WAS","Western Asia",17573.1,0,29977.8,881.5,54682.4,144182
"Baseline","Integrated Action",2070,"WBK","West Balkan",1913.1,0,1514.8,120,2988.7,7362.6
"Baseline","Integrated Action",2070,NA,"Global",1087691.4,0,1469889,754382.9,2667261.3,11865811
"Baseline","Integrated Action",2080,"CAS","Central Asia",4244.3,0,5261.2,1564.9,10843.6,33645.5
"Baseline","Integrated Action",2080,"CHI","Centrally Planned Asia",382915.3,0,550746.9,760.3,980188.4,2814032.3
"Baseline","Integrated Action",2080,"EAS","South East Asia",93859.9,0,170833.3,15405.8,317045.1,1049700.5
"Baseline","Integrated Action",2080,"EUR","EU, EFTA, UK",66649.3,0,48382.2,1185.8,84916.9,190937.1
"Baseline","Integrated Action",2080,"LAC","Latin America & Caribbean",163972.3,0,151653,6299.4,235176.1,627930.3
"Baseline","Integrated Action",2080,"MEA","Middle East",47697.3,0,65207.2,2073,137212.2,394064.3
"Baseline","Integrated Action",2080,"NAF","North Africa",55113.8,0,85064.1,7620.8,173876.4,544394
"Baseline","Integrated Action",2080,"NAM","North America",148817.5,0,80470,3446.3,121385.2,264803.6
"Baseline","Integrated Action",2080,"OCE","Oceania",67502.3,0,60061.2,794,103819.2,267019.1
"Baseline","Integrated Action",2080,"RUS","Russian Federation",12317.1,0,11864.4,1717.3,28111.8,85981.7
"Baseline","Integrated Action",2080,"SAF","Southern Africa",6784.5,0,12652.2,80363.5,19014.1,1158697.8
"Baseline","Integrated Action",2080,"SAS","South Asia",269959.2,0,508843.2,436980.7,917351.5,6195457.8
"Baseline","Integrated Action",2080,"SSA","Sub-Saharan Africa",19085.5,0,44623.5,117994.2,64934.3,580540.2
"Baseline","Integrated Action",2080,"WAS","Western Asia",23484.2,0,40150.9,741.9,72290.4,176085.8
"Baseline","Integrated Action",2080,"WBK","West Balkan",2262.6,0,1801.5,89.3,3561.9,7773
"Baseline","Integrated Action",2080,NA,"Global",1364665.1,0,1837614.8,677037.2,3269727.1,14391063
"Baseline","Integrated Action",2090,"CAS","Central Asia",6316.7,0,7640.7,1362.3,15587.2,43321.7
"Baseline","Integrated Action",2090,"CHI","Centrally Planned Asia",409302.4,0,590325.5,711.7,1044746.1,2638114.6
"Baseline","Integrated Action",2090,"EAS","South East Asia",119060.1,0,216479.9,13577.4,395408.9,1213933.2
"Baseline","Integrated Action",2090,"EUR","EU, EFTA, UK",79336.3,0,57248.6,657.6,99997.1,188204.6
"Baseline","Integrated Action",2090,"LAC","Latin America & Caribbean",250337.1,0,229025,5035.5,350123.8,853749.7
"Baseline","Integrated Action",2090,"MEA","Middle East",64324,0,89073.4,1672.9,184441.4,473292
"Baseline","Integrated Action",2090,"NAF","North Africa",85585.2,0,133192,6183.3,265862.5,759701.4
"Baseline","Integrated Action",2090,"NAM","North America",178506.6,0,96351.2,2312.2,144299.1,285321.5
"Baseline","Integrated Action",2090,"OCE","Oceania",76164.5,0,67677,520,116915.3,274471.2
"Baseline","Integrated Action",2090,"RUS","Russian Federation",14173.9,0,13629.5,1403.4,32151,85731.2
"Baseline","Integrated Action",2090,"SAF","Southern Africa",11194.7,0,19763.6,85469.5,30593.5,1453145.9
"Baseline","Integrated Action",2090,"SAS","South Asia",357656.7,0,664835.2,418860.7,1168789.8,7631062
"Baseline","Integrated Action",2090,"SSA","Sub-Saharan Africa",34157.2,0,75098.1,137262.2,113908.6,914220.1
"Baseline","Integrated Action",2090,"WAS","Western Asia",27318.7,0,46951.8,628.4,83621.8,187210.3
"Baseline","Integrated Action",2090,"WBK","West Balkan",2840.3,0,2259.4,62,4483.2,8354.2
"Baseline","Integrated Action",2090,NA,"Global",1716274.4,0,2309550.9,675719.1,4050929.3,17009833.6
"Baseline","Integrated Action",2100,"CAS","Central Asia",9698.3,0,11669.4,1439.1,23337.9,67442.2
"Baseline","Integrated Action",2100,"CHI","Centrally Planned Asia",454201.1,0,659886.3,686.3,1144838.4,2971572
"Baseline","Integrated Action",2100,"EAS","South East Asia",148386.2,0,269307.1,14057,480892.4,1534616.8
"Baseline","Integrated Action",2100,"EUR","EU, EFTA, UK",93597.6,0,68038.3,501.7,118145.6,221186.7
"Baseline","Integrated Action",2100,"LAC","Latin America & Caribbean",330877.9,0,302882.3,4599.4,458320.4,1123234.7
"Baseline","Integrated Action",2100,"MEA","Middle East",89487.9,0,126460.1,1676.7,256649.8,693784.1
"Baseline","Integrated Action",2100,"NAF","North Africa",131776.1,0,208040.7,6176.6,401537.4,1241178.5
"Baseline","Integrated Action",2100,"NAM","North America",210566.3,0,113276.5,1947,168901.7,342647.7
"Baseline","Integrated Action",2100,"OCE","Oceania",82918.1,0,72994.2,451.7,127232.3,292637.2
"Baseline","Integrated Action",2100,"RUS","Russian Federation",19147.2,0,18409,1436.4,43066,116827.3
"Baseline","Integrated Action",2100,"SAF","Southern Africa",19750.3,0,33660,62897.9,52947.7,1230473.5
"Baseline","Integrated Action",2100,"SAS","South Asia",462334.6,0,842269,449969.3,1454938.5,9662638.2
"Baseline","Integrated Action",2100,"SSA","Sub-Saharan Africa",63710.2,0,134319,132243.9,208803.2,1317262.1
"Baseline","Integrated Action",2100,"WAS","Western Asia",31887.8,0,54716.7,582.2,96158.6,219229.2
"Baseline","Integrated Action",2100,"WBK","West Balkan",3665.9,0,2908.6,54.7,5791.6,10492.1
"Baseline","Integrated Action",2100,NA,"Global",2152005.5,0,2918837.2,678719.9,5041561.5,21045222.3
