"",Country,1990,1995,2000,2005,2010,2014
91,Niger,12,11,,11,11,15,19
92,Nigeria,185,177,,171,168,216,265
93,Norway,688,730,,830,928,1091,1224
94,Pakistan,157,196,,231,265,315,339
95,Panama,18,22,,29,34,49,74
96,Papua New Guinea,7,8,,9,11,14,22
97,Paraguay,18,23,,26,27,31,36
98,Peru,153,166,,192,208,272,363
99,Philippines,181,212,,256,298,353,419
100,Poland,426,469,,615,740,962,1152
101,Portugal,402,477,595,703,781,784
102,Qatar,28,31,41,75,206,359
103,Republic of Korea,875,1562,2297,3081,3906,4548
104,Republic of Moldova,36,37,32,29,28,24
105,Romania,278,278,293,330,444,495
106,Russian Federation,3185,3466,3189,3127,3439,3774
107,Rwanda,3,3,4,4,7,11
108,Saudi Arabia,411,462,521,639,965,1328
109,Senegal,13,15,19,24,31,38
110,Serbia,63,62,64,71,90,101
111,Sierra Leone,2,3,2,3,4,6
112,Singapore,137,198,299,374,491,613
113,Slovakia,148,160,183,203,234,255
114,Slovenia,77,83,101,124,151,157
115,South Africa,477,497,543,613,766,895
116,Spain,2368,2763,3287,4103,4939,5167
117,Sri Lanka,35,42,52,64,86,113
118,Sudan (former),6,7,14,34,61,80
119,Swaziland,11,14,16,16,16,16
120,Sweden,954,1039,1158,1313,1515,1669
121,Switzerland,935,1340,1606,1714,1916,2054
122,Syrian Arab Republic,43,50,57,71,89,94
123,Tajikistan,13,13,12,11,10,10
124,Thailand,310,522,635,710,829,939
125,Togo,8,7,7,7,8,10
126,Trinidad and Tobago,50,47,48,53,54,52
127,Tunisia,66,76,89,104,123,136
128,Turkey,499,664,871,1053,1368,1683
129,Uganda,11,14,18,26,41,56
130,Ukraine,555,599,538,512,519,496
131,United Arab Emirates,282,318,363,427,591,743
132,United Kingdom,3826,4439,5347,6279,7115,7667
133,United Republic of Tanzania,12,21,28,40,66,95
134,United States of America,20669,24439,30540,37543,43404,47411
135,Uruguay,34,39,46,49,58,72
136,Venezuela (Bolivarian Republic of),496,520,539,546,651,739
137,Viet Nam,24,41,76,131,227,307
138,Yemen,16,19,25,33,48,58
139,Zambia,29,25,25,29,37,50
140,Zimbabwe,3,4,4,5,5,5
