"",Country,1990,1995,2000,2005,2010,2014
105,Romania,170,170,171,167,170,170
106,Russian Federation,6598,6581,6563,6554,6586,6553
107,Rwanda,3,2,3,3,3,3
108,Saudi Arabia,1505,2114,2114,2113,2109,2241
109,Senegal,82,78,75,72,71,70
110,Serbia,25,26,27,30,37,33
111,Sierra Leone,20,19,19,18,16,16
112,Singapore,0,0,0,0,0,0
113,Slovakia,10,10,11,11,11,11
114,Slovenia,14,15,17,18,20,18
115,South Africa,180,183,184,183,183,184
116,Spain,254,263,275,279,281,280
117,Sri Lanka,79,73,68,62,59,63
118,Sudan (former),352,336,320,317,313,157
119,Swaziland,1,2,2,2,2,2
120,Sweden,196,192,187,190,185,142
121,Switzerland,86,85,85,85,84,84
122,Syrian Arab Republic,11,10,9,9,9,8
123,Tajikistan,1,1,1,1,1,1
124,Thailand,251,241,228,220,220,234
125,Togo,5,5,5,4,4,3
126,Trinidad and Tobago,7,7,7,7,7,3
127,Tunisia,9,9,9,9,9,9
128,Turkey,381,378,381,373,347,349
129,Uganda,21,19,17,15,13,10
130,Ukraine,44,49,53,55,57,53
131,United Arab Emirates,2,2,2,1,1,1
132,United Kingdom,153,143,135,132,132,121
133,United Republic of Tanzania,288,275,263,251,240,378
134,United States of America,5051,5090,5140,5294,5459,5246
135,Uruguay,38,38,38,37,36,36
136,Venezuela (Bolivarian Republic of ),471,461,452,444,436,444
137,Viet Nam,194,196,201,201,196,196
138,Yemen,37,37,36,35,34,34
139,Zambia,340,336,332,327,322,322
140,Zimbabwe,93,86,79,72,65,60
