"",Country,1990,1995,2000,2005,2010,2014
57,Iraq,1541,1528,1504,1470,1434,1397
58,Ireland,43,35,33,32,32,30
59,Israel,15,14,14,14,13,13
60,Italy,355,345,356,355,362,335
61,Jamaica,32,33,32,32,30,30
62,Japan,567,548,531,509,501,458
63,Jordan,8,8,7,7,7,7
64,Kazakhstan,930,1015,998,973,937,904
65,Kenya,46,46,44,44,43,47
66,Kuwait,1606,1575,1524,1472,1409,1358
67,Kyrgyzstan,16,16,16,17,18,18
68,Lao People’s Democratic Republic,150,147,145,142,140,152
69,Latvia,21,22,23,24,27,25
70,Lesotho,0,0,0,0,0,0
71,Liberia,37,36,35,34,33,32
72,Lithuania,17,17,18,18,18,17
73,Luxembourg,1,1,1,1,1,1
74,Malawi,25,24,23,23,22,22
75,Malaysia,628,597,558,513,471,461
76,Maldives,3,3,3,3,2,2
77,Mali,75,75,74,72,69,46
78,Malta,0,0,0,0,0,0
79,Mauritania,20,18,17,15,15,13
80,Mauritius,2,2,2,2,2,2
81,Mexico,1151,1106,1055,1002,952,948
82,Mongolia,221,213,218,202,198,201
83,Morocco,84,82,79,77,75,75
84,Mozambique,272,267,262,258,371,367
85,Myanmar,253,237,220,203,188,175
86,Namibia,54,56,58,60,66,64
87,Nepal,222,202,182,170,170,170
88,Netherlands,157,138,120,105,89,75
89,New Zealand,1609,1595,1592,1520,1889,1713
90,Nicaragua,42,41,39,37,34,36
91,Niger,15,13,12,12,11,11
92,Nigeria,953,917,868,811,742,697
93,Norway,584,533,452,369,298,250
94,Pakistan,1448,1302,1156,1006,859,747
95,Panama,46,44,42,41,40,47
96,Papua New Guinea,327,318,309,300,292,398
97,Paraguay,115,110,112,108,106,100
98,Peru,1332,1305,1287,1263,1234,1294
99,Philippines,142,141,142,143,149,140
100,Poland,545,524,504,480,461,447
101,Portugal,62,63,65,63,62,58
102,Qatar,452,443,430,411,383,351
103,Republic of Korea,418,418,426,437,440,394
104,Republic of Moldova,6,6,7,7,7,1
105,Romania,218,209,201,191,188,184
106,Russian Federation,10921,12965,12694,12390,12079,11754
107,Rwanda,3,2,3,3,4,4
108,Saudi Arabia,5882,6299,6090,5872,5621,5547
109,Senegal,82,78,75,73,71,71
110,Serbia,25,26,27,30,42,36
111,Sierra Leone,20,19,19,18,16,16
112,Singapore,0,0,0,0,0,0
113,Slovakia,15,16,15,15,15,14
114,Slovenia,24,25,25,26,27,25
115,South Africa,481,461,437,410,384,363
116,Spain,295,300,309,310,310,308
117,Sri Lanka,79,73,68,62,59,63
118,Sudan (former),413,398,381,374,363,203
119,Swaziland,2,3,3,3,3,3
120,Sweden,209,204,199,202,197,154
121,Switzerland,86,85,85,85,84,84
122,Syrian Arab Republic,81,72,60,50,42,36
123,Tajikistan,6,7,6,6,6,6
124,Thailand,345,330,309,290,274,272
125,Togo,6,5,5,4,4,4
126,Trinidad and Tobago,72,67,62,53,41,28
127,Tunisia,28,26,23,21,19,17
128,Turkey,650,640,636,622,587,583
129,Uganda,48,46,45,43,41,38
130,Ukraine,672,725,717,706,694,680
131,United Arab Emirates,1346,1298,1249,1196,1137,1086
132,United Kingdom,490,417,327,251,202,166
133 United Republic of,290 Tanzania,278,265,253,242,380
134,United States of America,10980,10671,10372,10189,10018,9490
135,Uruguay,38,38,38,37,36,36
136,Venezuela (Bolivarian Republic of),4788,4715,4626,4542,4467,4423
137,Viet Nam,359,358,358,350,337,328
138,Yemen,89,85,78,70,86,81
139,Zambia,349,344,339,334,329,328
140,Zimbabwe,102,95,88,81,74,68
