"",Country,1990,1995,2000,2005,2010,2014
130,Ukraine,142.8,68.2,61.7,,89.2,93.8,92.4
131,United Arab Emirates,81.9,101.6,139.2,,180.6,203.4,249.6
132,United Kingdom,1656.0,1797.8,2105.5,,2418.9,2466.8,2676.5
133,United Republic of Tanzania,8.6,10.5,12.9,,18.1,24.3,31.6
134,United States of America,8228.6,9359.5,11553.3,,13093.7,13599.3,14682.7
135,Uruguay,12.7,15.5,17.2,,17.4,23.2,27.4
136,Venezuela (Bolivarian Republic of),104.3,123.6,128.3,,145.5,174.6,186.9
137,Viet Nam,19.5,29.0,40.6,,57.6,78.3,97.8
138,Yemen,7.5,9.8,14.7,,19.0,23.6,21.6
139,Zambia,5.3,5.2,6.2,,8.3,12.6,16.2
140,Zimbabwe,7.4,7.8,7.7,,6.2,9.6,12.8
